"name","file_system","mount_point","size","computer","provided_by","computer.disk_space","computer.name","computer.os","computer.used_for"
"/dev/sda5","ext4","/usr","5.8 GB","SIEC-UEBGAP03","/dev/sda5","55 237,72","SIEC-UEBGAP03","GNU/Linux","Production"
"/dev/sda6","ext4","/var","3.8 GB","SIEC-UEBGAP02","/dev/sda6","14 299,96","SIEC-UEBGAP02","GNU/Linux","Production"
"/dev/sda1","ext4","/boot","238.1 MB","SIEC-UEBGAP04","/dev/sda1","14 709,76","SIEC-UEBGAP04","GNU/Linux","Production"
"/dev/sdc","xfs","/backups/VMS","6.8 TB","SIEC-UEBGAP03","/dev/sdc","55 237,72","SIEC-UEBGAP03","GNU/Linux","Production"
"/dev/mapper/glvm01-srv","ext4","/srv","1.8 GB","eud2-pr-mutdns2","","19","eud2-pr-mutdns2","GNU/Linux","Production"
"/dev/mapper/vg_data-lv_data","xfs","/data","50.0 GB","sana-asttkap02","","149,96","sana-asttkap02","GNU/Linux","Production"
"/dev/mapper/vg_root-lv_backups","xfs","/backups","36.7 GB","SIEC-UEBDAP01","","10 203,96","SIEC-UEBDAP01","GNU/Linux","Production"
"/dev/sda5","ext4","/usr","5.8 GB","PLKRSV70050","/dev/sda5","6 339","PLKRSV70050","GNU/Linux","Production"
"/dev/sda6","ext4","/var","3.8 GB","SIEC-UEBGAP05","/dev/sda6","13 890,16","SIEC-UEBGAP05","GNU/Linux","Production"
"/dev/nvme0n1p1","xfs","/","50.0 GB","sana-tomap01","/dev/nvme0n1p1","50","sana-tomap01","GNU/Linux","Production"
"/dev/sdc","xfs","/_Stateless/backups/VMS","6.8 TB","SIEC-UEBGAP01","/dev/sdc","14 462,96","SIEC-UEBGAP01","GNU/Linux","Production"
"/dev/sda1","ext4","/boot","238.1 MB","SIEC-UEBDAP03","/dev/sda1","10 203,96","SIEC-UEBDAP03","GNU/Linux","Production"
"/dev/sda2","ext4","/","975.9 MB","SIEC-UEBGAP04","/dev/sda2","14 709,76","SIEC-UEBGAP04","GNU/Linux","Production"
"/dev/sda2","ext4","/","975.9 MB","SIEC-UEBGAP01","/dev/sda2","14 462,96","SIEC-UEBGAP01","GNU/Linux","Production"
"/dev/sda3","ext4","/usr/bp","49.1 GB","SIEC-UEBDAP01","/dev/sda3","10 203,96","SIEC-UEBDAP01","GNU/Linux","Production"
"/dev/sda5","ext4","/usr","5.8 GB","SIEC-UEBDAP03","/dev/sda5","10 203,96","SIEC-UEBDAP03","GNU/Linux","Production"
"/dev/sdc","xfs","/backups/VMS","6.8 TB","SIEC-UEBGAP02","/dev/sdc","14 299,96","SIEC-UEBGAP02","GNU/Linux","Production"
"/dev/mapper/glvm01-tmp","ext4","/tmp","937.0 MB","eud2-pr-mutdns2","","19","eud2-pr-mutdns2","GNU/Linux","Production"
"/dev/mapper/vg_root-lv_backups","xfs","/backups","36.7 GB","SIEC-UEBGAP02","","14 299,96","SIEC-UEBGAP02","GNU/Linux","Production"
"/dev/mapper/vgapp-lv_app","xfs","/app","10.0 GB","sana-hrpap01","","109,97","sana-hrpap01","GNU/Linux","Production"
"/dev/sda3","ext4","/usr/bp","49.1 GB","SIEC-UEBGAP03","/dev/sda3","55 237,72","SIEC-UEBGAP03","GNU/Linux","Production"
"/dev/sda1","ext4","/boot","238.1 MB","SIEC-UEBDAP02","/dev/sda1","10 203,96","SIEC-UEBDAP02","GNU/Linux","Production"
"/dev/sda6","ext4","/var","3.8 GB","SIEC-UEBDAP01","/dev/sda6","10 203,96","SIEC-UEBDAP01","GNU/Linux","Production"
"/dev/mapper/glvm01-home","ext4","/home","1.8 GB","eud2-pr-mutdns1","","19","eud2-pr-mutdns1","GNU/Linux","Production"
"/dev/mapper/vg_app-lv_app","xfs","/app","10.0 GB","sana-timap02","","109,97","sana-timap02","GNU/Linux","Production"
"/dev/nvme0n1p1","xfs","/","50.0 GB","nexus-dev-app","/dev/nvme0n1p1","199,96","nexus-dev-app","GNU/Linux","Production"
"/dev/nvme0n1p1","xfs","/","100.0 GB","sana-atlap01","/dev/nvme0n1p1","99,99","sana-atlap01","GNU/Linux","Production"
"/dev/sda2","ext4","/","975.9 MB","SIEC-UEBDAP02","/dev/sda2","10 203,96","SIEC-UEBDAP02","GNU/Linux","Production"
"/dev/sda1","ext4","/boot","238.1 MB","SIEC-UEBDAP01","/dev/sda1","10 203,96","SIEC-UEBDAP01","GNU/Linux","Production"
"/dev/sda6","ext4","/var","3.8 GB","SIEC-UEBGAP03","/dev/sda6","55 237,72","SIEC-UEBGAP03","GNU/Linux","Production"
"/dev/sdb","xfs","/backups/Synology","3.0 TB","PLKRSV70050","/dev/sdb","6 339","PLKRSV70050","GNU/Linux","Production"
"/dev/mapper/glvm01-usr","ext4","/usr","1.8 GB","eud2-pr-mutdns2","","19","eud2-pr-mutdns2","GNU/Linux","Production"
"/dev/nvme0n1p1","xfs","/","100.0 GB","sana-hrpap01","/dev/nvme0n1p1","109,97","sana-hrpap01","GNU/Linux","Production"
"/dev/mapper/vg_data-lv_data","xfs","/data","50.0 GB","sana-asttkav02","","149,96","sana-asttkav02","GNU/Linux","Production"
"/dev/mapper/vg_root-lv_backups","xfs","/backups","36.7 GB","SIEC-UEBGAP03","","55 237,72","SIEC-UEBGAP03","GNU/Linux","Production"
"/dev/sda3","ext4","/usr/bp","49.1 GB","SIEC-UEBGAP01","/dev/sda3","14 462,96","SIEC-UEBGAP01","GNU/Linux","Production"
"/dev/sda5","ext4","/usr","5.8 GB","SIEC-UEBGAP04","/dev/sda5","14 709,76","SIEC-UEBGAP04","GNU/Linux","Production"
"/dev/sdc","xfs","/backups/VMS","4.8 TB","SIEC-UEBDAP01","/dev/sdc","10 203,96","SIEC-UEBDAP01","GNU/Linux","Production"
"/dev/mapper/glvm01-root","ext4","/","937.0 MB","eud2-pr-mutdns1","","19","eud2-pr-mutdns1","GNU/Linux","Production"
"/dev/nvme0n1p1","xfs","/","50.0 GB","sana-nexai03","/dev/nvme0n1p1","50","sana-nexai03","GNU/Linux","Integration"
"/dev/sda3","ext4","/usr/bp","49.1 GB","SIEC-UEBGAP04","/dev/sda3","14 709,76","SIEC-UEBGAP04","GNU/Linux","Production"
"/dev/sda5","ext4","/usr","5.8 GB","SIEC-UEBGAP05","/dev/sda5","13 890,16","SIEC-UEBGAP05","GNU/Linux","Production"
"/dev/sda6","ext4","/var","3.8 GB","SIEC-UEBDAP03","/dev/sda6","10 203,96","SIEC-UEBDAP03","GNU/Linux","Production"
"/dev/mapper/glvm01-var","ext4","/var","1.8 GB","eud2-pr-mutdns2","","19","eud2-pr-mutdns2","GNU/Linux","Production"
"/dev/sda1","ext4","/boot","238.1 MB","SIEC-UEBGAP03","/dev/sda1","55 237,72","SIEC-UEBGAP03","GNU/Linux","Production"
"/dev/sdc","xfs","/backups/VMS","4.8 TB","SIEC-UEBDAP03","/dev/sdc","10 203,96","SIEC-UEBDAP03","GNU/Linux","Production"
"/dev/sda2","ext4","/","975.9 MB","SIEC-UEBGAP05","/dev/sda2","13 890,16","SIEC-UEBGAP05","GNU/Linux","Production"
"/dev/mapper/vg_root-lv_backups","xfs","/backups","36.7 GB","SIEC-UEBDAP03","","10 203,96","SIEC-UEBDAP03","GNU/Linux","Production"
"/dev/mapper/vg_state-lv_backup","xfs","/_Stateless","199.9 GB","SIEC-UEBGAP01","","14 462,96","SIEC-UEBGAP01","GNU/Linux","Production"
"/dev/sda6","ext4","/var","3.8 GB","SIEC-UEBGAP04","/dev/sda6","14 709,76","SIEC-UEBGAP04","GNU/Linux","Production"
"/dev/mapper/glvm01-srv","ext4","/srv","1.8 GB","eud2-pr-mutdns1","","19","eud2-pr-mutdns1","GNU/Linux","Production"
